basepolity,period_start,latitude,longitude,polity_territory,temperature,polity_population,cc_infra,kinship1
IrArcha,-6800,31.361706,48.732086,19242,23.438551,403047,.17777778,-.40994334
IrArcha,-6100,31.361706,48.732086,19113,23.469303,448502,.17777778,-.4354918
IrArcha,-6600,31.361706,48.732086,19208,23.496502,415708,.17777778,-.43532139
IrArcha,-6300,31.361706,48.732086,19156,23.522497,435439,.17777778,-.43542102
IrArcha,-6700,31.361706,48.732086,19225,23.542774,409329,.17777778,-.40997517
PkAcerN,-6700,28.497017,68.229736,1416,23.551903,148407,.3888889,-.43805116
IrArcha,-6500,31.361706,48.732086,19191,23.560469,422186,.17777778,-.43535158
IrArcha,-6900,31.361706,48.732086,19259,23.570126,396863,.17777778,-.40991205
IrArcha,-6400,31.361706,48.732086,19174,23.63344,428765,.17777778,-.43538579
IrPrCer,-7800,31.361706,48.732086,3681,23.640596,148021,.18888889,-.39227065
IrArcha,-6200,31.361706,48.732086,19135,23.647442,441922,.17777778,-.43545547
PkAcerN,-7100,28.497017,68.229736,1401,23.652473,138385,.3888889,-.43380505
PkAcerN,-6800,28.497017,68.229736,1412,23.658308,145836,.3888889,-.43698353
PkAcerN,-7400,28.497017,68.229736,1390,23.681749,131315,.3888889,-.43059149
PkAcerN,-7000,28.497017,68.229736,1406,23.697569,140780,.3888889,-.43488821
IrPrCer,-7600,31.361706,48.732086,3678,23.698217,149444,.18888889,-.39246598
IrForma,-7100,31.361706,48.732086,3849,23.711163,161685,.18888889,-.39543971
PkAcerN,-7500,28.497017,68.229736,1386,23.712875,129040,.3888889,-.42952311
IrPrCer,-7700,31.361706,48.732086,3679,23.716393,148731,.18888889,-.39236838
PkAcerN,-6400,28.497017,68.229736,1420,23.733179,154141,.3888889,-.44112346
IrPrCer,-7400,31.361706,48.732086,3682,23.740917,150782,.18888889,-.39266419
IrArcha,-7000,31.361706,48.732086,21199,23.747101,370787,.17777778,-.41001815
IrForma,-7000,31.361706,48.732086,4228,23.747101,159076,.18888889,-.39573893
PkAcerN,-6900,28.497017,68.229736,1409,23.771084,143308,.3888889,-.43592408
PkAcerN,-7200,28.497017,68.229736,1399,23.77787,135943,.3888889,-.43276185
PkAcerN,-6600,28.497017,68.229736,1419,23.817225,150918,.3888889,-.43912438
IrArcha,-6000,31.361706,48.732086,20973,23.821144,437405,.17777778,-.41038087
IrKhzE,-6000,31.361706,48.732086,3809,23.821144,177168,.22222222,-.39528251
IrPrCer,-7300,31.361706,48.732086,3681,23.828514,151505,.18888889,-.39276165
PkAcerN,-6000,28.497017,68.229736,1418,23.837481,159228,.3888889,-.44493547
PkAcerN,-6200,28.497017,68.229736,1419,23.848768,156690,.3888889,-.44300541
IrPrCer,-7500,31.361706,48.732086,3683,23.850088,150063,.18888889,-.39256689
IrKhzE,-5800,31.361706,48.732086,3447,23.882536,184968,.22222222,-.39536601
PkAcerN,-7300,28.497017,68.229736,1394,23.886168,133631,.3888889,-.43166468
PkAcerN,-5900,28.497017,68.229736,1416,23.927704,160591,.3888889,-.44585982
IrForma,-7200,31.361706,48.732086,4234,23.934322,155101,.18888889,-.39549613
IrPrCer,-7200,31.361706,48.732086,4047,23.934322,146752,.18888889,-.39304891
IrKhzE,-5900,31.361706,48.732086,3455,23.940849,184374,.22222222,-.39525795
PkAcerN,-5700,28.497017,68.229736,1419,23.952681,163087,.3888889,-.44782043
IrKhzEM,-5400,31.361706,48.732086,3272,23.966228,294264,.26666668,.35145536
IrKhzEM,-5300,31.361706,48.732086,3253,23.966511,293520,.26666668,.35058194
PkAcerN,-6300,28.497017,68.229736,1419,23.967499,155410,.3888889,-.44206691
PkAcerN,-5800,28.497017,68.229736,1416,23.975,161913,.3888889,-.4468064
PkAcerN,-6100,28.497017,68.229736,1418,24.016384,157979,.3888889,-.44395921
PkAcerN,-6500,28.497017,68.229736,1421,24.024012,152883,.3888889,-.44014874
IrKhzEM,-5600,31.361706,48.732086,3308,24.042862,295686,.26666668,.35284612
PkCeraN,-5400,28.497017,68.229736,1459,24.05022,168186,.37777779,-.48652357
IrKhzE,-5700,31.361706,48.732086,4556,24.050514,166668,.22222222,-.39605632
IrKhzEM,-5700,31.361706,48.732086,3660,24.050514,283072,.26666668,.35291168
PkCeraN,-5500,28.497017,68.229736,1766,24.059149,153766,.37777779,-.48801863
PkAcerN,-5500,28.497017,68.229736,1711,24.059149,155191,.3888889,-.45591077
IrKhzM,-5100,31.361706,48.732086,8923,24.082998,460506,.26666668,.21119611
IrKhzEM,-5100,31.361706,48.732086,4276,24.082998,261326,.26666668,.34500635
IrKhzEM,-5200,31.361706,48.732086,3235,24.115101,292778,.26666668,.34970891
PkCeraN,-5200,28.497017,68.229736,1457,24.1422,170743,.37777779,-.48835313
IrKhzEM,-5500,31.361706,48.732086,3296,24.151718,294818,.26666668,.35219818
IrKhzM,-5000,31.361706,48.732086,7077,24.168659,506403,.26666668,.21512939
IrKhzM,-4900,31.361706,48.732086,7033,24.18128,503575,.26666668,.21497874
IrKhzM,-4800,31.361706,48.732086,6988,24.200958,500763,.26666668,.21483417
PkCeraN,-5100,28.497017,68.229736,1460,24.216932,171869,.37777779,-.48864666
IrSusa2,-3200,31.361706,48.732086,11114,24.245905,6900,.5777778,-.1605469
PkAcerN,-5600,28.497017,68.229736,1417,24.246225,164483,.3888889,-.448735
IrKhzL,-4300,31.361706,48.732086,11203,24.254438,344495,.25555557,.16305253
IrSusa1,-4300,31.361706,48.732086,2409,24.254438,8000,.25555557,.22069836
PkCeraN,-4700,28.497017,68.229736,1457,24.258305,177151,.37777779,-.48920563
PkCeraN,-4500,28.497017,68.229736,1451,24.289814,180044,.37777779,-.48949099
IrSusa1,-4200,31.361706,48.732086,1742,24.295757,8000,.25555557,.22145532
IrSusa1,-4100,31.361706,48.732086,1747,24.318941,8000,.25555557,.22145173
PkCeraN,-4300,28.497017,68.229736,1453,24.31946,182627,.37777779,-.48977649
IrSusa2,-3500,31.361706,48.732086,15698,24.341322,10000,.5777778,-.17293718
PkCeraN,-4900,28.497017,68.229736,1455,24.344826,174652,.37777779,-.488924
PkCeraN,-5300,28.497017,68.229736,1458,24.367525,169460,.37777779,-.4874382
IrAwanE,-2100,31.361706,48.732086,200000,24.37252,203881,.66666669,-.019052619
IqAkkad,-2100,31.361706,48.732086,132678,24.37252,369771,.77777779,.22050323
IqUrIII,-2100,31.361706,48.732086,87222,24.37252,175000,.33333334,.27703947
PkCeraN,-5000,28.497017,68.229736,1456,24.373953,173339,.37777779,-.48878455
IrSusa2,-3100,31.361706,48.732086,9363,24.374987,6900,.5777778,-.15540457
IrSusa3,-3100,31.361706,48.732086,30745,24.374987,103004,.5777778,-.14157496
PkCeraN,-4100,28.497017,68.229736,1448,24.382208,185609,.37777779,-.49004945
IrKhzL,-4500,31.361706,48.732086,8580,24.385357,391168,.25555557,.1672518
IrSusa2,-3400,31.361706,48.732086,22358,24.391708,21000,.5777778,-.18486257
IrKhzL,-4700,31.361706,48.732086,11617,24.394184,355773,.25555557,.16589077
IrKhzM,-4700,31.361706,48.732086,9177,24.394184,443242,.26666668,.21194163
IrMElm2,-1200,31.361706,48.732086,290000,24.415049,1060332,.77777779,.24875362
IqNAssr,-200,31.361706,48.732086,1400000,24.426178,12773082,.8888889,.050351709
IrSeleu,-200,38.287216,33.17897,2300000,24.426178,30000000,1,.050443716
